task_id,category,task_description,input_prompt,output_criterion,expected_tool_calls,difficulty,tags
1,research_and_code,Research and implement fibonacci,Search for efficient fibonacci algorithms online then read about memoization techniques and create a Python implementation with both recursive and memoized versions saving to fibonacci.py,Complete implementation with web research and file creation,5,medium,python;algorithms;research
2,documentation_review,FastAPI documentation deep dive,Search for FastAPI official documentation then read the dependency injection guide and the security section and create a summary markdown file with code examples,Summary document with research trail,5,medium,fastapi;documentation;python
3,project_setup,Initialize Python project,Create a new Python project directory structure with src tests and docs folders then initialize git and create a pyproject.toml with standard dependencies and a README,Complete project scaffold,5,medium,python;project;setup
4,code_analysis,Analyze and document codebase,Read the main.py file in the current directory then search for any imported modules and create a dependency graph document explaining the architecture,Architecture documentation,5,medium,analysis;documentation;architecture
5,research_synthesis,AI trends research report,Search for latest AI trends in 2025 then read 3 relevant articles and synthesize findings into a comprehensive markdown report saved to ai_trends_report.md,Research report with sources,5,medium,research;ai;writing
6,api_development,Build REST endpoint with tests,Create a FastAPI endpoint for user registration then write pytest unit tests and create an OpenAPI description file documenting the endpoint,Complete API with tests and docs,5,medium,api;testing;documentation
7,database_design,Design and document schema,Research best practices for e-commerce database design then create a PostgreSQL schema file and generate an ERD description document,Schema with documentation,5,medium,database;design;documentation
8,code_refactoring,Refactor with documentation,Read the utils.py file then search for Python best practices for the patterns used and refactor the code and update the docstrings,Refactored code with docs,5,medium,refactoring;best-practices;python
9,testing_suite,Create comprehensive tests,Read the authentication module then search for pytest best practices and create a complete test suite with fixtures and mocks saved to tests directory,Complete test suite,5,hard,testing;pytest;python
10,devops_setup,CI/CD pipeline creation,Search for GitHub Actions best practices then read about Python CI workflows and create a complete .github/workflows/ci.yml with linting testing and coverage,Complete CI pipeline,5,medium,devops;cicd;github-actions
11,library_research,Compare HTTP libraries,Search for Python HTTP client libraries comparison then read documentation for httpx and aiohttp and create a comparison document with code examples,Library comparison doc,5,medium,research;python;http
12,error_handling,Implement error handling system,Read the current error handling in the codebase then search for Python exception best practices and create a comprehensive error handling module,Error handling module,5,medium,python;errors;best-practices
13,logging_setup,Configure structured logging,Search for Python structured logging best practices then read about loguru and structlog and implement a logging configuration module,Logging configuration,5,medium,logging;python;observability
14,api_documentation,Generate API docs,Read all endpoint files in the api directory then search for OpenAPI specification format and generate comprehensive API documentation,API documentation,5,medium,documentation;api;openapi
15,security_review,Security best practices implementation,Search for OWASP Python security guidelines then read about input validation and implement security middleware for the FastAPI application,Security middleware,5,hard,security;python;fastapi
16,performance_analysis,Profile and optimize code,Read the data processing module then search for Python profiling tools and create a performance report with optimization recommendations,Performance report,5,hard,performance;profiling;python
17,migration_planning,Database migration strategy,Search for database migration best practices then read about Alembic and create migration scripts and a migration strategy document,Migration plan and scripts,5,medium,database;migration;alembic
18,config_management,Configuration system design,Search for Python configuration management patterns then read about pydantic settings and create a hierarchical configuration system,Config management system,5,medium,configuration;python;pydantic
19,caching_implementation,Add caching layer,Search for Python caching strategies then read about Redis caching patterns and implement a caching decorator module with TTL support,Caching module,5,medium,caching;redis;python
20,async_patterns,Implement async utilities,Read the current async code then search for asyncio best practices and create a utility module with common async patterns and helpers,Async utilities module,5,hard,asyncio;python;patterns
21,data_validation,Build validation framework,Search for data validation libraries in Python then read pydantic documentation and create comprehensive validation schemas for API inputs,Validation schemas,5,medium,validation;pydantic;api
22,queue_system,Message queue implementation,Search for Python message queue options then read about Redis queues and implement a task queue system with producer and consumer,Queue system,5,hard,queues;redis;python
23,monitoring_setup,Application monitoring,Search for Python application monitoring then read about Prometheus metrics and implement monitoring endpoints and a metrics module,Monitoring system,5,medium,monitoring;prometheus;observability
24,rate_limiting,Implement rate limiter,Search for rate limiting algorithms then read about token bucket implementation and create a rate limiting middleware for FastAPI,Rate limiter middleware,5,medium,rate-limiting;algorithms;fastapi
25,health_checks,Health check endpoints,Read the application dependencies then search for health check best practices and implement comprehensive health check endpoints,Health check system,5,medium,health-checks;reliability;api
26,feature_flags,Feature flag system,Search for feature flag implementations then read about feature toggle patterns and create a feature flag management system,Feature flag system,5,medium,feature-flags;configuration;patterns
27,webhook_handler,Webhook processing system,Search for webhook best practices then read about signature verification and implement a secure webhook handler with retry logic,Webhook handler,5,medium,webhooks;security;api
28,batch_processing,Batch job framework,Search for Python batch processing patterns then read about job scheduling and create a batch processing framework with progress tracking,Batch framework,5,hard,batch;processing;python
