task_id,category,task_description,input_prompt,output_criterion,expected_tool_calls,difficulty,tags
1,code_generation,Generate a Python function to calculate fibonacci numbers,Write a Python function that calculates the nth fibonacci number using recursion,Function compiles without errors and returns correct fibonacci sequence,0,easy,python;algorithms;recursion
2,code_generation,Create a REST API endpoint,Create a FastAPI endpoint that accepts POST requests with JSON data and returns a processed response,Valid FastAPI code with proper type hints and error handling,0,medium,python;api;fastapi
3,web_search,Research current AI trends,What are the top 5 AI trends in 2025?,Response contains 5 distinct trends with brief descriptions,1,easy,research;ai;trends
4,web_search,Find Python documentation,Find the official Python documentation for asyncio,Returns valid URL to Python asyncio documentation,1,easy,documentation;python
5,web_reading,Extract article content,Read and summarize the main points from https://example.com/article,Summary contains key points from article in markdown format,1,medium,web;reading;summarization
6,embeddings,Compare text similarity,Calculate the semantic similarity between 'machine learning' and 'artificial intelligence',Returns similarity score between 0 and 1,1,easy,embeddings;similarity;nlp
7,embeddings,Cluster similar documents,Given 5 documents about different topics create semantic clusters,Groups documents by semantic similarity with cluster labels,1,medium,embeddings;clustering;nlp
8,reranking,Sort search results by relevance,Rerank these 10 search results based on the query 'best python frameworks',Returns ordered list with most relevant results first,1,medium,reranking;search;relevance
9,classification,Categorize text into topics,Classify this text into one of: Technology Business Sports Entertainment,Returns single category label with confidence score,1,easy,classification;nlp
10,segmentation,Split document into semantic chunks,Break this 5000 word document into logical semantic sections,Returns list of text chunks with semantic boundaries,1,medium,segmentation;chunking;nlp
11,code_analysis,Analyze code complexity,Analyze the time and space complexity of this sorting algorithm,Response includes Big O notation for time and space,0,medium,algorithms;complexity;analysis
12,code_generation,Create a database schema,Design a PostgreSQL schema for an e-commerce application,Valid SQL CREATE TABLE statements with proper relationships,0,medium,sql;database;schema
13,debugging,Fix a race condition,Identify and fix the race condition in this multi-threaded code,Explanation of race condition and corrected code,0,hard,concurrency;threading;debugging
14,code_review,Review code quality,Review this Python code and suggest improvements,At least 3 specific improvement suggestions with examples,0,medium,code-review;best-practices
15,web_search,Find academic papers,Search for recent papers on transformer architecture in NLP,Returns 3-5 academic paper citations with titles and links,1,medium,research;academic;nlp
16,web_reading,Extract structured data,Extract all product information from this e-commerce page,Structured JSON with product name price description and images,1,medium,web;extraction;structured-data
17,embeddings,Create semantic search index,Generate embeddings for 100 product descriptions for search,Returns embedding vectors for all products,1,medium,embeddings;search;indexing
18,multi_tool,Research and summarize topic,Research quantum computing and create a comprehensive summary,Uses web search to find sources then summarizes key concepts,2,hard,research;multi-step;summarization
19,multi_tool,Analyze and visualize data,Analyze this CSV data and describe key insights,Reads data calculates statistics and describes patterns,1,medium,data-analysis;statistics
20,code_generation,Write unit tests,Create pytest unit tests for this Python function,Complete test suite with edge cases and assertions,0,medium,testing;pytest;python
21,code_generation,Implement design pattern,Implement the Observer design pattern in Python,Complete implementation with example usage,0,medium,design-patterns;oop;python
22,web_search,Compare products,Compare the features of iPhone 15 vs Samsung S24,Structured comparison table with key differences,1,medium,research;comparison;products
23,web_search,Find documentation examples,Find code examples for using FastAPI with WebSockets,Returns working code examples from documentation,1,medium,documentation;examples;api
24,embeddings,Semantic document search,Find the most relevant document for this query from 50 documents,Returns top 3 documents ranked by semantic relevance,1,medium,search;embeddings;ranking
25,code_generation,Create CLI application,Build a command-line tool that processes CSV files,Complete Python script with argparse and file handling,0,medium,cli;python;data-processing
26,debugging,Fix memory leak,Identify and fix the memory leak in this Python application,Explanation of leak cause and corrected code,0,hard,debugging;memory;performance
27,code_optimization,Optimize database query,Optimize this SQL query that takes 5 seconds to run,Improved query with explanation of optimizations,0,medium,sql;optimization;performance
28,web_reading,Extract metadata,Extract all metadata from this article (author date tags),Structured JSON with complete metadata,1,easy,web;metadata;extraction
29,classification,Multi-label classification,Classify this movie description into multiple genres,Returns list of applicable genre labels,1,medium,classification;multi-label;nlp
30,segmentation,Extract key phrases,Segment this text and extract the most important phrases,Returns ranked list of key phrases,1,medium,segmentation;key-phrases;nlp
31,code_generation,Build authentication system,Create a JWT-based authentication system in Python,Complete implementation with token generation and validation,0,hard,security;authentication;jwt
32,web_search,Market research,Research the market size for AI chatbot industry,Returns market data with sources and projections,1,medium,research;market;business
33,web_search,Find tutorials,Find beginner-friendly tutorials for learning React hooks,Returns 3-5 quality tutorial links with descriptions,1,easy,tutorials;learning;react
34,embeddings,Duplicate detection,Find duplicate or near-duplicate documents in a collection,Returns pairs of similar documents with similarity scores,1,medium,embeddings;deduplication;similarity
35,reranking,Improve search quality,Rerank these FAQ answers based on user query relevance,Returns reordered answers with relevance scores,1,medium,reranking;search;faq
